uid,namedLocation,domainID,siteID,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertainty,elevation,elevationUncertainty,plotID,collectDate,processedDate,laboratoryName,sampleID,sampleCode,biomassID,internalLabID,batchID,testProtocolVersion,freshMass,freezeDryMass,c8To0Concentration,c10To0Concentration,c11To0Concentration,lipid2OH10To0Concentration,c12To0Concentration,c13To0Concentration,lipid2OH12To0Concentration,lipid3OH12To0Concentration,c14To1Concentration,c14To0Concentration,i14To0Concentration,i15To0Concentration,aC15To0Concentration,c15To0Concentration,c15To1Concentration,lipid2OH14To0Concentration,lipid3OH14To0Concentration,i16To0Concentration,cis16To1n9Concentration,c16To1Cis11Concentration,c16To0Concentration,lipid10Methyl16To0Concentration,i17To0Concentration,c17To1Concentration,cyclo17To0Concentration,c17To0Concentration,c17To0AnteisoConcentration,lipid2OH16To0Concentration,lipid10Methyl17To0Concentration,c18To3n6Concentration,cis18To2n912Concentration,cis18To1n9Concentration,trans18To1n9Concentration,trans18To2n912Concentration,c18To3n3Concentration,c18To1n11Concentration,c18To0Concentration,lipid10Methyl18To0Concentration,cyclo19To0Concentration,c19To0Concentration,c19To1Cis10Concentration,c20To4n6Concentration,c20To5n3Concentration,c20To3n6Concentration,c20To2Concentration,c20To1Concentration,c20To3n3Concentration,c20To0Concentration,c21To0Concentration,c22To2Concentration,c22To1n9Concentration,c22To0Concentration,c22To6CisConcentration,c23To0Concentration,c24To1Concentration,c24To0Concentration,totalLipidConcentration,extractionEfficiency,extractEffStdConc,processedBy,reviewedBy,remarks,analysisResultsQF,dataQF,publicationDate,release
8c2efcf0-20fc-46c9-afa7-b1d5d853a6cc,ORNL_043.basePlot.bgc,D07,ORNL,35.963926,-84.287233,WGS84,20.11,322.2,0.1,ORNL_043,2017-10-26T16:46Z,2018-08-30,EcoCore_CSU,ORNL_043-M-31.5-1.5-20171026,,ORNL_043-M-31.5-1.5-20171026-BM,B12-12,20180830 set 12a reruns,EcoCore_PLFA_SOP_v1,2.12,1.74,0,0,0,0,0,0,2.1,0,0,1.31,0.55,3.48,1.88,0.64,0,0,0,1.76,2.85,1.73,6.35,0.49,0,0,0,0,0.61,0,2.57,0,1.97,4.26,2.27,0,0,3.98,2.25,0.79,0,,5.55,0.44,0,0,0,0,0,0.86,,0,0,1.76,0,0,0,2.05,52.49,17.13,3.53,gBjiWWJpRwN5aMvHerCkcw==,n1ZvJKzEEAM=,"",0,,20201217T230508Z,RELEASE-2021
b06fb6cb-5543-4434-a188-7eab7630b72b,ORNL_049.basePlot.bgc,D07,ORNL,35.964792,-84.278894,WGS84,20.1,315.6,0.2,ORNL_049,2017-10-26T18:43Z,2018-06-04,EcoCore_CSU,ORNL_049-O-2-9.5-20171026,,ORNL_049-O-2-9.5-20171026-BM,B9-86,20180604 set 9b-10,EcoCore_PLFA_SOP_v1,1.89,1.2,0,0,0,0,0,0,0,0,0,3.35,0,15.52,12.15,2.64,0,0,0,7.17,18.43,11.36,37.24,2.31,0,1.46,6.68,2.13,0,0,12.95,0,6.99,20.8,7.16,0,1.04,55.82,7.85,1.08,5.07,,0,0.98,0.99,0,0,1.12,0,1.65,,0,0,2.81,0,0.84,0,2.82,250.42,24.97,31.78,gBjiWWJpRwN5aMvHerCkcw==,n1ZvJKzEEAM=,"",0,,20201217T230508Z,RELEASE-2021
6e4470e5-c7aa-4a6e-a7af-92722fc79984,ORNL_049.basePlot.bgc,D07,ORNL,35.964792,-84.278894,WGS84,20.1,315.6,0.2,ORNL_049,2017-10-26T18:48Z,2018-06-04,EcoCore_CSU,ORNL_049-M-2-9.5-20171026,,ORNL_049-M-2-9.5-20171026-BM,B10-4,20180604 set 9b-10,EcoCore_PLFA_SOP_v1,1.86,1.41,0,0,0,0,0,0,3.43,0,0,2.18,0,8.99,10.87,1.8,0,0,0,5,8.64,5.46,19.54,1.23,0,1.49,3.19,0,0,0,8.67,0,0,12.12,5.26,0,0,18.87,5.24,2.12,4.31,,0,0.71,0.74,0,0,0,0,1.34,,0,0,2.21,0,0.67,0,2.28,136.35,39.46,20.08,gBjiWWJpRwN5aMvHerCkcw==,n1ZvJKzEEAM=,"",0,,20201217T230508Z,RELEASE-2021
21cf6c7b-96fe-4159-a30c-823e7ce54660,ORNL_049.basePlot.bgc,D07,ORNL,35.964792,-84.278894,WGS84,20.1,315.6,0.2,ORNL_049,2017-10-26T19:08Z,2018-06-04,EcoCore_CSU,ORNL_049-O-38-14.5-20171026,,ORNL_049-O-38-14.5-20171026-BM,B9-95,20180604 set 9b-10,EcoCore_PLFA_SOP_v1,1.88,1.04,0,0,0,0,2.05,0,0,0,0,4,0,18.01,10.13,3.31,0,0,0,7.79,21.78,12.76,49.36,1.87,0,1.55,8.51,2.84,0,0,12.19,0,10.43,22.86,5.89,1.51,2.03,63,9.07,0,5.85,,0,1.25,1.16,0,0,1.24,0,1.87,,0,0,3.15,0,0.99,0,3.59,290.02,19.22,33.6,gBjiWWJpRwN5aMvHerCkcw==,n1ZvJKzEEAM=,"",0,,20201217T230508Z,RELEASE-2021
5472b00e-7ede-4727-bf80-ad9fc37b7160,ORNL_049.basePlot.bgc,D07,ORNL,35.964792,-84.278894,WGS84,20.1,315.6,0.2,ORNL_049,2017-10-26T19:16Z,2018-06-04,EcoCore_CSU,ORNL_049-M-38-14.5-20171026,,ORNL_049-M-38-14.5-20171026-BM,B10-13,20180604 set 9b-10,EcoCore_PLFA_SOP_v1,2.12,1.75,0,0,0,0,0,0,0,0,0,1.34,0,4.23,3.61,1.01,0,0,0,2.32,3.72,2.14,8.23,0.87,0,0.9,1.66,0,0,0,3.68,0,1.96,4.91,2.18,0,0,6.37,2.64,1.33,3.48,,0,0,0,0,0,0,0,0.83,,0,0,1.26,0,0,0,1.28,59.97,26,7.55,gBjiWWJpRwN5aMvHerCkcw==,n1ZvJKzEEAM=,"",0,,20201217T230508Z,RELEASE-2021
3e6ac316-2510-44c1-992b-ac2e6015514f,ORNL_049.basePlot.bgc,D07,ORNL,35.964792,-84.278894,WGS84,20.1,315.6,0.2,ORNL_049,2017-10-26T19:28Z,2018-06-06,EcoCore_CSU,ORNL_049-O-28-35-20171026,,ORNL_049-O-28-35-20171026-BM,B10-62,20180606 set 10b-11a,EcoCore_PLFA_SOP_v1,2,1.28,0,0,0,0,0,0,8.26,0,0,6.96,0,47.19,16.88,5.48,0,0,0,23.2,36.21,18.87,98.39,2.79,0,3.75,20.25,4.37,0,0,24.33,0,19.56,81.08,11.43,1.14,2.57,67.85,17.83,3.94,0,,94.01,1.54,1.87,0,0,0,0,2.22,,0,0,6.58,0,0,0,8.54,637.08,35.97,4.81,gBjiWWJpRwN5aMvHerCkcw==,n1ZvJKzEEAM=,c19:0 and c21:0 are spiked internal standards,0,,20201217T230508Z,RELEASE-2021
f2119621-ef5e-48c3-acb6-9488d5993a85,ORNL_049.basePlot.bgc,D07,ORNL,35.964792,-84.278894,WGS84,20.1,315.6,0.2,ORNL_049,2017-10-26T19:38Z,2018-06-04,EcoCore_CSU,ORNL_049-M-28-35-20171026,,ORNL_049-M-28-35-20171026-BM,B10-3,20180604 set 9b-10,EcoCore_PLFA_SOP_v1,2.02,1.68,0,0,0,0,0,0,0,0,0,1.46,0,5.25,4.68,1.3,0,0,0,2.85,4.28,2.23,11.6,0.82,0,0.97,1.83,0.94,0,0,3.77,0,5.03,7.44,3.36,0,0,5.35,4.15,1.49,3.62,,0,0.59,0.62,0,0,0,0,1.01,,0,0,1.88,0,0.55,0,1.86,78.9,44.39,9.12,gBjiWWJpRwN5aMvHerCkcw==,n1ZvJKzEEAM=,"",0,,20201217T230508Z,RELEASE-2021
7b550562-ea72-48b9-b921-c76d8964af2e,ORNL_021.basePlot.bgc,D07,ORNL,35.955641,-84.221347,WGS84,20.1,277.6,0.1,ORNL_021,2017-10-26T21:05Z,2018-06-04,EcoCore_CSU,ORNL_021-O-15.5-1.5-20171026,,ORNL_021-O-15.5-1.5-20171026-BM,B9-77,20180604 set 9b-10,EcoCore_PLFA_SOP_v1,1.96,1.43,0,0,0,0,0,0,0,0,0,4.07,0,28.81,20.37,4.08,0,0,0,11.46,36.27,17.67,47.42,2.81,0,1.64,11.29,0,0,0,15.76,0,10,26.91,8.95,1.19,1.66,67.36,9.47,1.42,4.25,,0,1.07,0.94,0,0,1.55,0,1.75,,0,0,2.47,0,0.73,0,2.18,343.56,37.67,27.05,gBjiWWJpRwN5aMvHerCkcw==,n1ZvJKzEEAM=,"",0,,20201217T230508Z,RELEASE-2021
64112d79-5d17-4caa-8fc2-0b2510c0a0a3,ORNL_021.basePlot.bgc,D07,ORNL,35.955641,-84.221347,WGS84,20.1,277.6,0.1,ORNL_021,2017-10-26T21:12Z,2018-06-04,EcoCore_CSU,ORNL_021-M-15.5-1.5-20171026,,ORNL_021-M-15.5-1.5-20171026-BM,B10-24,20180604 set 9b-10,EcoCore_PLFA_SOP_v1,1.84,1.47,0,0,0,0,0,0,0,0,0,1.58,0,6.2,5.66,1.19,0,0,0,3.47,5.85,3.38,10.92,1.14,0,0.96,2.06,0,0,0,5.3,0,0,6.92,2.75,0,0,9.13,3.76,2.11,4.14,,0,0.61,0,0,0,0,0,1.09,,0,0,1.72,0,0,0,1.66,81.6,26.13,9.03,gBjiWWJpRwN5aMvHerCkcw==,n1ZvJKzEEAM=,"",0,,20201217T230508Z,RELEASE-2021
a9a9c4a4-1a86-4cb5-b90f-9d129fdbeb67,ORNL_021.basePlot.bgc,D07,ORNL,35.955641,-84.221347,WGS84,20.1,277.6,0.1,ORNL_021,2017-10-26T21:22Z,2018-05-31,EcoCore_CSU,ORNL_021-O-23-2-20171026,,ORNL_021-O-23-2-20171026-BM,B9-18,20180531 set 9,EcoCore_PLFA_SOP_v1,1.76,1.23,0,0,0,0,0,0,0,0,0,5.45,0,41.11,27.71,5.6,0,0,0,14.48,47.05,26.6,65.02,3.54,0,2.12,15.67,4.11,0,0,18.27,0,15.29,35.36,10.89,1.75,2.07,82.24,13.58,1.48,0,,35.41,1.89,1.7,0,0,1.81,0.89,1.91,,0,0,2.66,0,0.83,0,2.84,489.32,56.92,5.01,gBjiWWJpRwN5aMvHerCkcw==,n1ZvJKzEEAM=,"",0,,20201217T230508Z,RELEASE-2021
affe3723-44ab-4e0d-a9f0-e586fb658d20,ORNL_021.basePlot.bgc,D07,ORNL,35.955641,-84.221347,WGS84,20.1,277.6,0.1,ORNL_021,2017-10-26T21:31Z,2018-05-31,EcoCore_CSU,ORNL_021-M-23-2-20171026,,ORNL_021-M-23-2-20171026-BM,B9-22,20180531 set 9,EcoCore_PLFA_SOP_v1,1.79,1.45,0,0,0,0,0,0,3.04,0,0,1.92,0,13.57,11.85,1.88,0,0,0,6.51,12.37,14.34,20.53,1.91,0,1.36,3.35,0,0,0,11.08,0,4.1,11.43,5.23,0,0.92,19.56,5.69,3.76,0,,17.38,0.7,0,0,0,0.88,0,1.05,,0,0,1.56,0,0,0,1.83,177.81,41.84,4.25,gBjiWWJpRwN5aMvHerCkcw==,n1ZvJKzEEAM=,"",0,,20201217T230508Z,RELEASE-2021
1cdf8710-f9c9-402a-b6ad-155c8c75b5c8,ORNL_021.basePlot.bgc,D07,ORNL,35.955641,-84.221347,WGS84,20.1,277.6,0.1,ORNL_021,2017-10-26T21:50Z,2018-06-04,EcoCore_CSU,ORNL_021-M-38-32-20171026,,ORNL_021-M-38-32-20171026-BM,B10-20,20180604 set 9b-10,EcoCore_PLFA_SOP_v1,2,1.62,0,0,0,0,0,0,0,0,0,1.48,0,6.59,3.58,1.24,0,0,0,3.03,5.02,2.87,10.4,1.14,0,0,1.92,0,0,0,3.97,0,2.01,7.46,2.42,0,0,5.5,3.86,2.01,3.75,,8.34,0,0,0,0,0,0,1.1,,0,0,1.67,0,0,0,1.76,81.14,27.87,0,gBjiWWJpRwN5aMvHerCkcw==,n1ZvJKzEEAM=,"",0,,20201217T230508Z,RELEASE-2021
fda0aaec-4e37-4f8c-a80c-eba0d78af2e2,ORNL_004.basePlot.bgc,D07,ORNL,35.907944,-84.275214,WGS84,20.13,293.1,0.2,ORNL_004,2020-06-01T14:54Z,2020-09-02,"Microbial ID, Inc",ORNL_004-M-26.5-35.5-20200601,A00000143957,ORNL_004-M-26.5-35.5-20200601-BM,MI200804-1654,59,Midi_PLFA_SOP_v1,10.79,8.9,,0,0,0,0,0,,,0,0.58,0.19,4.75,2.31,0.47,0,,,1.91,2.42,1.9,10.12,3.3,1.15,0,1.09,0.49,1.19,0,0.34,0,4.81,5.76,,,,6.05,,2.49,10.04,,,0.31,0,0,0,0,,0.27,0,0,0,0.59,0,0.14,0,0.92,63.59,55.58,6.1,X3dKIAlqROSj6yvdqziKsQ==,R4/UGDekA77/irTWzC9I3x3ZBDsojeHY,,0,,20210412T165216Z,PROVISIONAL
ae97bd91-e6d3-4779-9a3a-ef9e77cc0541,ORNL_004.basePlot.bgc,D07,ORNL,35.907944,-84.275214,WGS84,20.13,293.1,0.2,ORNL_004,2020-06-01T15:23Z,2020-09-02,"Microbial ID, Inc",ORNL_004-O-7.5-36-20200601,A00000143974,ORNL_004-O-7.5-36-20200601-BM,MI200804-1653,59,Midi_PLFA_SOP_v1,3.66,1.83,,0,0,0.85,0.64,0,,,0.21,3.41,1.29,32.86,8.29,2.29,0,,,12.61,20.42,7.02,41.52,22.89,3.66,0,6.14,2.6,2.49,0.22,1.73,0,13.69,32.82,,,,16.94,,3.33,60.2,,,1.84,0.45,0.82,0.31,0.85,,0.83,0.28,0,0,1.02,0,0.3,0,1.03,305.84,60.48,6.1,X3dKIAlqROSj6yvdqziKsQ==,R4/UGDekA77/irTWzC9I3x3ZBDsojeHY,,0,,20210412T165216Z,PROVISIONAL
