uid,siteID,extractionStartDate,extractionEndDate,kclReferenceID,kclBlank1ID,kclBlank1Code,kclBlank2ID,kclBlank2Code,kclBlank3ID,kclBlank3Code,remarks,dataQF,publicationDate,release
044be37b-ba2d-46e4-805a-dd4619ba11e3,DELA,2019-06-27,2019-06-27,DELA-20190627-BREF1,DELA-20190627-BREF1-A,B00000005036,DELA-20190627-BREF1-B,B00000005035,DELA-20190627-BREF1-C,B00000005034,,,20201218T082036Z,RELEASE-2021
201f1306-2c0a-4811-b62d-8618eb21d242,DELA,2019-07-16,2019-07-16,DELA-20190716-BREF1,DELA-20190716-BREF1-A,B00000055720,DELA-20190716-BREF1-B,B00000055721,DELA-20190716-BREF1-C,B00000055722,,,20201218T065250Z,RELEASE-2021
1c444ce8-2a6d-439a-ba15-2df65fa2dd7f,DELA,2019-11-13,2019-11-13,DELA-20191113-BREF1,DELA-20191113-BREF1-A,B00000056143,DELA-20191113-BREF1-B,B00000056144,DELA-20191113-BREF1-C,B00000056142,,,20201218T071322Z,RELEASE-2021
12eb8e52-a65d-4e2c-84ae-99aa9984894f,DELA,2019-11-14,2019-11-14,DELA-20191114-BREF2,DELA-20191114-BREF2-A,B00000056207,DELA-20191114-BREF2-B,B00000056203,DELA-20191114-BREF2-C,B00000056202,,,20201218T071322Z,RELEASE-2021
4ea205b1-de66-4ece-8e43-a9593fe8de9f,DELA,2019-12-03,2019-12-03,DELA-20191203-BREF2,DELA-20191203-BREF2-A,B00000056351,DELA-20191203-BREF2-B,B00000056350,DELA-20191203-BREF2-C,B00000056349,,,20201218T070619Z,RELEASE-2021
2e3b8c93-42cb-4231-8802-5836e02e86f8,DELA,2019-12-05,2019-12-05,DELA-20191205-BREF2,DELA-20191205-BREF2-A,B00000056367,DELA-20191205-BREF2-B,B00000056368,DELA-20191205-BREF2-C,B00000056369,,,20201218T070619Z,RELEASE-2021
443d9fc1-cef2-4cd6-b53f-758b4150efd3,LENO,2018-04-25,2018-04-25,LENO-20180425-BREF1,LENO-20180425-BREF1-A,B00000003510,LENO-20180425-BREF1-B,B00000003509,LENO-20180425-BREF1-C,B00000003504,,,20201218T112642Z,RELEASE-2021
f5fd64ed-741a-448d-b7c0-d0175a30de8d,LENO,2018-04-26,2018-04-26,LENO-20180426-BREF1,LENO-20180426-BREF1-A,B00000003554,LENO-20180426-BREF1-B,B00000003543,LENO-20180426-BREF1-C,B00000003539,,,20201218T112642Z,RELEASE-2021
b2405fa5-bb0b-4565-9869-c546e2af1bf8,LENO,2018-05-15,2018-05-15,LENO-20180515-BREF1,LENO-20180515-BREF1-A,B00000003586,LENO-20180515-BREF1-B,B00000003585,LENO-20180515-BREF1-C,B00000003584,,,20201218T111910Z,RELEASE-2021
d280801e-1b72-4598-bee0-f72dc3cb5dd0,LENO,2018-07-10,2018-07-10,LENO-20180710-BREF1,LENO-20180710-BREF1-A,B00000003757,LENO-20180710-BREF1-B,B00000003763,LENO-20180710-BREF1-C,B00000003739,,,20201218T095850Z,RELEASE-2021
e28c9740-ea58-4376-8b19-fa730af8b376,LENO,2018-07-12,2018-07-12,LENO-20180712-BREF1,LENO-20180712-BREF1-A,B00000003806,LENO-20180712-BREF1-B,B00000003776,LENO-20180712-BREF1-C,B00000003773,,,20201218T095850Z,RELEASE-2021
384da359-d85f-4c67-9e9e-62fc88bbc8d0,LENO,2018-08-01,2018-08-01,LENO-20180801-BREF2,LENO-20180801-BREF2-A,B00000003782,LENO-20180801-BREF2-B,B00000003797,LENO-20180801-BREF2-C,B00000003783,,,20201218T091804Z,RELEASE-2021
cd9b1414-12df-483a-bb6d-3e06f3cad14b,LENO,2018-11-06,2018-11-06,LENO-20181106-BREF3,LENO-20181106-BREF3-A,B00000004300,LENO-20181106-BREF3-B,B00000004299,LENO-20181106-BREF3-C,B00000004301,,,20201218T091646Z,RELEASE-2021
f6c50428-bd4c-44de-ac2c-321cbde21c88,LENO,2018-11-09,2018-11-09,LENO-20181109-BREF3,LENO-20181109-BREF3-A,B00000003753,LENO-20181109-BREF3-B,B00000004326,LENO-20181109-BREF3-C,B00000004325,,,20201218T091646Z,RELEASE-2021
192ddd9a-b12b-4769-b508-9e426d5a4d07,LENO,2018-11-29,2018-11-29,LENO-20181129-BREF3,LENO-20181129-BREF3-A,B00000004429,LENO-20181129-BREF3-B,B00000004428,LENO-20181129-BREF3-C,B00000004427,,,20201218T091646Z,RELEASE-2021
