"","siteID","plotID","taxonID","spp_name","sumBA","mycType","majorGroup","totalBAbyPlot","speciesDominance"
"49","ORNL","ORNL_027","JUVI","Juniperus_virginiana",0.795089976733773,"A","G",0.891299680953633,89.2056839830883
"50","ORNL","ORNL_029","PIVI2","Pinus_virginiana",0.266876725126126,"E","G",0.885997457952537,30.1216129607025
"51","ORNL","ORNL_031","DIVI5","Diospyros_virginiana",0.00232634935998324,"A","A",0.00415868327518949,55.9395656279509
"52","ORNL","ORNL_044","ULRU","Ulmus_rubra",0.000132732289614169,"A","A",0.000825453469730718,16.0799238820171
"53","SERC","SERC_006","ULMUS","Ulmus_sp.",0.114306848700865,"A","A",1.02664577565559,11.1340105235295
"54","SERC","SERC_022","ROPS","Robinia_pseudoacacia",0.15136271944812,"A","A",0.508690609460076,29.7553594725831
"55","SERC","SERC_022","SAAL5","Sassafras_albidum",0.0634358242594485,"A","A",0.508690609460076,12.4704138585887
"56","TREE","TREE_002","PIMA","Picea_mariana",0.79362363836271,"E","G",1.0845571092337,73.174905369755
"57","TREE","TREE_002","POTR5","Populus_tremuloides",0.224775456577206,"E","A",1.0845571092337,20.725091806002
"58","TREE","TREE_004","ABBA","Abies_balsamea",0.113632191678506,"E","G",0.182462915922332,62.276869304706
"59","TREE","TREE_004","BEPA","Betula_papyrifera",0.0660519855417254,"E","A",0.182462915922332,36.2002246910498
"60","TREE","TREE_006","PIGL","Picea_glauca",0.0441150294398713,"E","G",0.326716211195378,13.5025529582584
"61","TREE","TREE_009","LALA","Larix_laricina",0.589837947702301,"E","G",1.22543005081148,48.133138836583
