"","site","sitemeanclay","sitesdclay","field_mean_annual_temperature_C","field_mean_annual_precipitation_mm","field_domint_plant_species","CDI"
"1","BART",3.57,0.703206939669966,6.2,1325,"Fagus grandifolia (American beech)|Tsuga cadensis (Eastern hemlock)|Acer rubrum (Red maple)",0.509652458
"2","DELA",36.9857142857143,6.34151288844277,17.6,1372,"Quercus nigra (Water oak)|Celtis laevigata (Sugarberry)|Acer rubrum (Red maple)",1.191923992
"3","HARV",5.4625,1.94986263252422,7.4,1199,"Osmunda cinmomea (Cinmon fern)|Quercus rubra (Northern red oak)|Tsuga cadensis (Eastern hemlock)",0.582321936
"4","LENO",44.6617647058824,13.7547438340805,18.1,1386,"Liquidambar styraciflua (sweetgum)|Carpinus carolinia (American hornbeam)|Ilex decidua (possumhaw)",1.236048449
"5","ORNL",21.9894736842105,12.7134943503543,14.4,1340,"Acer rubrum (red maple)|Nyssa sylvatica (sour gum)|Quercus monta (chestnut oak)",0.964116125
"6","SERC",17.3973684210526,6.20760003911448,13.6,1075,"Liriodendron tulipifera (tulip poplar)|Fagus grandifolia (American Beech)|Liquidambar styraciflua (American sweetgum)",0.756473662
"7","TREE",5.36666666666667,1.0767427733679,4.8,797,"Acer saccharum (sugar maple)|Acer rubrum (red maple)|Alnus inca (grey alder)",0.215083774
