"","plotID","Site","Plot","plotBA","A","E","B","ER"
"1","BART_032","BART","032",2.97402874082711,0.465508175958122,0.534491824041878,0,0
"2","BART_033","BART","033",2.18080801172222,0.547403726233852,0.452596273766148,0,0
"3","BART_034","BART","034",3.38929702414922,0.321124154102517,0.678875845897483,0,0
"4","BART_036","BART","036",2.15129824652889,0.268912109664498,0.731087890335502,0,0
"5","BART_040","BART","040",2.80889642077831,0.822775876734077,0.177224123265923,0,0
"6","BART_042","BART","042",3.31047367907249,0.484490012635746,0.515509987364254,0,0
"7","BART_071","BART","071",2.37778430030598,0.408679271832202,0.591320728167798,0,0
"8","DELA_001","DELA","001",1.51611062347386,0.932396450010672,0.0671373186100917,0.000466231379236748,0
"9","DELA_002","DELA","002",0.761851926458793,0.544844436197192,0.455155563802808,0,0
"10","DELA_004","DELA","004",1.04873509900114,0.660271805920956,0.339728194079043,0,0
"11","DELA_014","DELA","014",1.8178189717485,0.159040820144488,0.840959179855512,0,0
"12","DELA_037","DELA","037",1.52260665168332,0.343754368390673,0.656245631609327,0,0
"13","DELA_038","DELA","038",1.452653593464,0.728269614225098,0.271730385774902,0,0
"14","DELA_041","DELA","041",2.2949923383096,1,0,0,0
"15","HARV_001","HARV","001",0.981449252944719,0.0704254093244346,0.929574590675565,0,0
"16","HARV_004","HARV","004",0.57656157714823,0.660707450337215,0.338829398134589,0,0.000463151528195711
"17","HARV_010","HARV","010",0.997156430814505,0.0670870552504334,0.932912944749567,0,0
"18","HARV_016","HARV","016",0.957547230638045,0.50744061411416,0.487106571838446,0,0.00545281404739388
"19","HARV_021","HARV","021",0.736332769333683,0.359281002807383,0.6401643470915,0,0.00055465010111698
"20","HARV_033","HARV","033",2.58746597497901,0.241173981564224,0.758826018435776,0,0
"21","HARV_037","HARV","037",4.00870756889793,0.145616075093382,0.854383924906618,0,0
"22","LENO_002","LENO","002",0.952034520929158,0.199869985018578,0.800130014981422,0,0
"23","LENO_003","LENO","003",2.09467889292957,0.0336955592517214,0.966304440748279,0,0
"24","LENO_005","LENO","005",1.36956867795267,0.983726815572297,0.0162731844277031,0,0
"25","LENO_006","LENO","006",2.1508560673629,0.0327384332248211,0.967261566775179,0,0
"26","LENO_062","LENO","062",2.66212906598423,0.382085352296839,0.617914647703161,0,0
"27","LENO_063","LENO","063",1.61335391167675,0.91260771906731,0.0873922809326906,0,0
"28","LENO_064","LENO","064",2.75417851613257,0.595652529750659,0.404347470249341,0,0
"29","ORNL_003","ORNL","003",0.579510747251788,0.360121758175037,0.639878241824963,0,0
"30","ORNL_021","ORNL","021",0.000340077404751095,1,0,0,0
"31","ORNL_029","ORNL","029",0.619120732826411,0.45991508190524,0.539474735788524,0,0.000610182306235403
"32","ORNL_037","ORNL","037",2.23851671257418,0.185767295120849,0.814232704879151,0,0
"33","ORNL_043","ORNL","043",3.08505183980681,0.28020524387667,0.719624440874641,0,0.000170315248688267
"34","ORNL_046","ORNL","046",2.94245180766772,0.656600682353356,0.34326772626644,0,0.000131591380204065
"35","ORNL_049","ORNL","049",2.03259552430749,0.87531322679726,0.12468677320274,0,0
"36","SERC_001","SERC","001",2.43337713850574,1,0,0,0
"37","SERC_002","SERC","002",1.25903802362142,0.50699132969071,0.49300867030929,0,0
"38","SERC_003","SERC","003",0.452397981496728,0.911635368074568,0.088364631925432,0,0
"39","SERC_005","SERC","005",1.49658798132629,0.775611317675274,0.224388682324726,0,0
"40","SERC_045","SERC","045",2.70530947160965,0.353542901785364,0.642375236862634,0,0.0040818613520019
"41","SERC_047","SERC","047",3.85746108837799,0.415734427479175,0.584219761407578,0,4.58111132467008e-05
"42","SERC_049","SERC","049",2.11958936647805,0.240095674100369,0.759904325899631,0,0
"43","TREE_001","TREE","001",1.21219137936926,0.00127898614107723,0.998721013858923,0,0
"44","TREE_002","TREE","002",1.0845571092337,0.00101021000057209,0.998989789999428,0,0
"45","TREE_003","TREE","003",1.24849405327781,0.998997252194219,0.00100274780578146,0,0
"46","TREE_006","TREE","006",0.220931717965539,0.319944258600279,0.680055741399721,0,0
"47","TREE_014","TREE","014",0.426885892955088,0.909220868106151,0.0907791318938491,0,0
"48","TREE_041","TREE","041",1.87058594735636,0.961482619166781,0.0385173808332186,0,0
