"","siteID","plotID","taxonID","genus","species","sumBA","mycType","majorGroup","totalBAbyPlot","speciesDominance"
"1245","ORNL","ORNL_059","OXAR","Oxydendrum","arboreum",0.24168429363699,"A","A",2.39632755094379,10.0856117746425
"1246","ORNL","ORNL_059","QUAL","Quercus","alba",0.111627855565516,"E","A",2.39632755094379,4.65828870187431
"1247","ORNL","ORNL_059","QURU","Quercus","rubra",0.140530507978542,"E","A",2.39632755094379,5.86441147927353
"1248","ORNL","ORNL_059","QUVE","Quercus","velutina",0.763457280304777,"E","A",2.39632755094379,31.8594709643968
"1249","ORNL","ORNL_059","SAAL5","Sassafras","albidum",0.0722982571352253,"A","A",2.39632755094379,3.01704402249812
"1250","ORNL","ORNL_059","VITIS","Vitis","sp.",0.00727749938204076,"A","A",2.39632755094379,0.303693849331012
"1251","ORNL","ORNL_060","ACRU","Acer","rubrum",0.271959822039634,"A","A",2.38981031698392,11.379975226773
"1252","ORNL","ORNL_060","ACSA3","Acer","saccharum",0.0720767748531472,"A","A",2.38981031698392,3.01600400420534
"1253","ORNL","ORNL_060","COFL2","Cornus","florida",0.00342119439975928,"A","A",2.38981031698392,0.143157570935464
"1254","ORNL","ORNL_060","FAGR","Fagus","grandifolia",0.0197739695598576,"E","A",2.38981031698392,0.827428412176807
"1255","ORNL","ORNL_060","FRAM2","Fraxinus","americana",0.120072456618365,"A","A",2.38981031698392,5.02435091877517
"1256","ORNL","ORNL_060","LIST2","Liquidambar","styraciflua",0.000254469004940773,"A","A",2.38981031698392,0.0106480837885882
"1257","ORNL","ORNL_060","OXAR","Oxydendrum","arboreum",0.149202874498777,"A","A",2.38981031698392,6.24329359691942
"1258","ORNL","ORNL_060","QUAL","Quercus","alba",0.154830252339519,"E","A",2.38981031698392,6.47876742514545
"1259","ORNL","ORNL_060","QUCO2","Quercus","coccinea",0.508957644835631,"E","A",2.38981031698392,21.2969891885799
"1260","ORNL","ORNL_060","QUMO4","Quercus","montana",0.682961037140009,"E","A",2.38981031698392,28.5780437169568
"1261","ORNL","ORNL_060","QUVE","Quercus","velutina",0.381553496361951,"E","A",2.38981031698392,15.96584857176
"1262","ORNL","ORNL_060","SAAL5","Sassafras","albidum",0.0247463253323268,"A","A",2.38981031698392,1.03549328398407
"1263","ORNL","ORNL_061","ACRU","Acer","rubrum",0.812500683219967,"A","A",2.66980868922593,30.4329177779229
"1264","ORNL","ORNL_061","ACSA3","Acer","saccharum",0.0257304292310638,"A","A",2.66980868922593,0.963755543043198
"1265","ORNL","ORNL_061","CAGL8","Carya","glabra",0.0666339655808029,"E","A",2.66980868922593,2.49583297296566
"1266","ORNL","ORNL_061","CATO6","Carya","tomentosa",0.0939485429074394,"E","A",2.66980868922593,3.51892415687202
"1267","ORNL","ORNL_061","COFL2","Cornus","florida",0.0565486677646163,"A","A",2.66980868922593,2.11807939620617
"1268","ORNL","ORNL_061","FAGR","Fagus","grandifolia",0.0285225197019417,"E","A",2.66980868922593,1.06833571323088
"1269","ORNL","ORNL_061","LIST2","Liquidambar","styraciflua",0.0832490637274759,"A","A",2.66980868922593,3.11816588444818
"1270","ORNL","ORNL_061","LITU","Liriodendron","tulipifera",0.281414445130613,"A","A",2.66980868922593,10.54062211522
"1271","ORNL","ORNL_061","NYSY","Nyssa","sylvatica",0.351259903801548,"A","A",2.66980868922593,13.1567443472285
"1272","ORNL","ORNL_061","OXAR","Oxydendrum","arboreum",0.095973299372678,"A","A",2.66980868922593,3.59476316636396
"1273","ORNL","ORNL_061","PIEC2","Pinus","echinata",0.154472896175174,"E","G",2.66980868922593,5.78591630173924
"1274","ORNL","ORNL_061","PIVI2","Pinus","virginiana",0.468497073050048,"E","G",2.66980868922593,17.5479642021048
"1275","ORNL","ORNL_061","PRSE2","Prunus","serotina",0.0239114470846353,"A","A",2.66980868922593,0.895623989131899
"1276","ORNL","ORNL_061","QUST","Quercus","stellata",0.0977954231117601,"E","A",2.66980868922593,3.66301239135282
"1277","ORNL","ORNL_061","QUVE","Quercus","velutina",0.0251649425534176,"E","A",2.66980868922593,0.942574749081136
"1278","ORNL","ORNL_061","SAAL5","Sassafras","albidum",0.004185386812745,"A","A",2.66980868922593,0.156767293088648
"1279","ORNL","ORNL_062","ACRU","Acer","rubrum",0.481849627225968,"A","A",3.05092157721821,15.7935763024533
"1280","ORNL","ORNL_062","CAGL8","Carya","glabra",0.0136847775990371,"E","A",3.05092157721821,0.448545701771684
"1281","ORNL","ORNL_062","NYSY","Nyssa","sylvatica",0.045418790391111,"A","A",3.05092157721821,1.48869085099602
"1282","ORNL","ORNL_062","OXAR","Oxydendrum","arboreum",0.171915803986067,"A","A",3.05092157721821,5.63488112148782
"1283","ORNL","ORNL_062","QUCO2","Quercus","coccinea",0.489185246072101,"E","A",3.05092157721821,16.0340157454369
"1284","ORNL","ORNL_062","QUMO4","Quercus","montana",1.34499985260527,"E","A",3.05092157721821,44.0850352447154
"1285","ORNL","ORNL_062","QURU","Quercus","rubra",0.160459986374752,"E","A",3.05092157721821,5.25939399992895
"1286","ORNL","ORNL_062","QUVE","Quercus","velutina",0.343312459786129,"E","A",3.05092157721821,11.2527461325032
"1287","ORNL","ORNL_062","VACO","Vaccinium","corymbosum",9.50331777710913e-05,"ER","A",3.05092157721821,0.0031149007067478
"1288","ORNL","ORNL_063","ACRU","Acer","rubrum",0.391193473419491,"A","A",2.47129616183457,15.8294857354971
"1289","ORNL","ORNL_063","CACA18","Carpinus","caroliniana",0.00234834050855837,"E","A",2.47129616183457,0.0950246492033184
"1290","ORNL","ORNL_063","CAGL8","Carya","glabra",0.000460243323750905,"E","A",2.47129616183457,0.0186235600110851
"1291","ORNL","ORNL_063","CATO6","Carya","tomentosa",0.0015087498718865,"E","A",2.47129616183457,0.0610509535516972
"1292","ORNL","ORNL_063","CECA4","Cercis","canadensis",0.0084948665353068,"A","A",2.47129616183457,0.343741339726787
"1293","ORNL","ORNL_063","COFL2","Cornus","florida",0.0197024983269884,"A","A",2.47129616183457,0.797253628733928
"1294","ORNL","ORNL_063","FAGR","Fagus","grandifolia",0.0165915362017711,"E","A",2.47129616183457,0.67136980415388
"1295","ORNL","ORNL_063","LITU","Liriodendron","tulipifera",0.60027746009018,"A","A",2.47129616183457,24.2899847197822
"1296","ORNL","ORNL_063","NYSY","Nyssa","sylvatica",0.00352565235549115,"A","A",2.47129616183457,0.142664097081504
"1297","ORNL","ORNL_063","OXAR","Oxydendrum","arboreum",0.0742350490061634,"A","A",2.47129616183457,3.00389124349447
"1298","ORNL","ORNL_063","PIST","Pinus","strobus",1.18447939057194,"E","G",2.47129616183457,47.9294796335799
"1299","ORNL","ORNL_063","PRSE2","Prunus","serotina",0.145498151362031,"A","A",2.47129616183457,5.88752386739517
"1300","ORNL","ORNL_063","QUVE","Quercus","velutina",0.0213188477472603,"E","A",2.47129616183457,0.862658554506647
"1301","ORNL","ORNL_063","VITIS","Vitis","sp.",0.001661902513749,"A","A",2.47129616183457,0.0672482132823484
"1302","ORNL","ORNL_066","ELUM","Elaeagnus","umbellata",0.00395369435454275,"A","A",0.00414533150641173,95.3770367563471
"1303","ORNL","ORNL_066","RHGL","Rhus","glabra",0.000191637151868977,"A","A",0.00414533150641173,4.6229632436529
"1304","SERC","SERC_001","ACRU","Acer","rubrum",0.119537600469092,"A","A",2.43337713850574,4.91241569494221
"1305","SERC","SERC_001","ASTR","Asimina","triloba",0.000508938009881547,"A","A",2.43337713850574,0.0209148841676909
"1306","SERC","SERC_001","ILOP","Ilex","opaca",0.00636172512351933,"A","A",2.43337713850574,0.261436052096136
"1307","SERC","SERC_001","LIST2","Liquidambar","styraciflua",1.83335257662417,"A","A",2.43337713850574,75.3419002592413
"1308","SERC","SERC_001","LITU","Liriodendron","tulipifera",0.38264912679989,"A","A",2.43337713850574,15.7250234969686
"1309","SERC","SERC_001","NYSY","Nyssa","sylvatica",0.0268802521422777,"A","A",2.43337713850574,1.10464801024571
"1310","SERC","SERC_001","ULMUS","Ulmus","sp.",0.06235197479396,"A","A",2.43337713850574,2.56236379504446
"1311","SERC","SERC_001","VITIS","Vitis","sp.",0.00173494454294496,"A","A",2.43337713850574,0.0712978072938722
"1312","SERC","SERC_002","ARSP2","Aralia","spinosa",0.00180955736846772,"A","A",1.25903802362142,0.143725394667813
"1313","SERC","SERC_002","BETH","Berberis","thunbergii",7.85398163397448e-05,"A","A",1.25903802362142,0.00623808136579049
"1314","SERC","SERC_002","LIBE3","Lindera","benzoin",0.0047398779161036,"A","A",1.25903802362142,0.376468210425456
"1315","SERC","SERC_002","LIST2","Liquidambar","styraciflua",0.0578430039378953,"A","A",1.25903802362142,4.59422216427738
