"","plotID","Site","Plot.x","mg.total.soil..aim.5000.","Total.N","field_mean_annual_temperature_C","field_mean_annual_precipitation_mm","field_domint_plant_species","CDI","pct.N.soil_FLF","pct.N.soil_OLF","pct.N.soil_HF","pct.C.soil_FLF","pct.C.soil_OLF","pct.C.soil_HF","C.N_FLF","C.N_OLF","C.N_HF","Sample.mass_FLF","Sample.mass_OLF","Sample.mass_HF","fraction.mass_FLF","fraction.mass_OLF","fraction.mass_HF","Total.fractions.mass_FLF","Total.fractions.mass_OLF","Total.fractions.mass_HF","Total.C_FLF","Total.C_OLF","Total.C_HF","mg.C_FLF","mg.C_OLF","mg.C_HF","mg.N_FLF","mg.N_OLF","mg.N_HF","mg.C.per.g.soil_FLF","mg.C.per.g.soil_OLF","mg.C.per.g.soil_HF","mg.N.per.g.soil_FLF","mg.N.per.g.soil_OLF","mg.N.per.g.soil_HF","proportion.C_FLF","proportion.C_OLF","proportion.C_HF","proportion.N_FLF","proportion.N_OLF","proportion.N_HF","CAMSno","Site.y","Plot.y","fraction","d13C","fractionModern","fMerror","d14C","del14Cerror","X14C.age","X14Cageerror","yr","decayRate","turnoverTime","fractionAngiosperm","plotBA","A","E","B","ER","Fe....","FeOx","meanNitrogenPercent","meanOrganicCarbonPercent","meanCNratio","meanorganicd13C","meand15N"
"11","DELA_014","DELA","014",5362.5,9.507147,17.6,1372,"Quercus nigra (Water oak)|Celtis laevigata (Sugarberry)|Acer rubrum (Red maple)",1.191923992,0.800738255033557,0.728403578528827,0.16,15.4093959731544,24.3817097415507,1.57,19.2439862542955,33.4728033472803,9.8,9.699,24.172,35.054,59.6,50.3,5414.7,5524.6,5524.6,5524.6,106.45879,106.45879,106.45879,9.184,12.264,85.01079,0.47724,0.366387,8.66352,1.71263403263403,2.28699300699301,15.852827972028,0.0889958041958042,0.0683239160839161,1.61557482517483,0.0862681230925131,0.115199505836953,0.798532371070533,0.0501980247070967,0.0385380598406651,0.911263915452238,187542,"DELA","014","HF",-26.5,0.9561,0.0038,-52,3.8,"360",35,"2021",0.00263445545907611,379.58508524213,0.15909313796436,1.8178189717485,0.159040820144488,0.840959179855512,0,0,0.9,8.956636905,0.178333333333333,2.275,12.7666666666667,-26.4833333333333,6.81666666666667
"12","DELA_037","DELA","037",5044.9,5.681178,17.6,1372,"Quercus nigra (Water oak)|Celtis laevigata (Sugarberry)|Acer rubrum (Red maple)",1.191923992,0.32362331838565,0.796155405405405,0.108,8.30744394618834,24.4125,1.07,25.6701030927835,30.6629834254144,9.9,9.903,20.987,48.409,44.6,29.6,4908.5,4982.7,4982.7,4982.7,63.45217,63.45217,63.45217,3.70512,7.2261,52.52095,0.144336,0.235662,5.30118,0.734428829114551,1.43235743027612,10.4107018969653,0.0286102796883982,0.0467129179963924,1.05079981763761,0.0583923292142727,0.1138826300188,0.827725040766927,0.025405998544668,0.0414811857681629,0.933112815687169,187499,"DELA","037","HF",-26.6,0.9204,0.0024,-87.5,2.4,"665",25,"2021",0.00139867111048164,714.964363320296,1,1.52260665168332,0.343754368390673,0.656245631609327,0,0,1.08,10.77811523,0.15,1.63333333333333,10.85,-26.2833333333333,5.75
"13","DELA_038","DELA","038",5024.8,9.574706,17.6,1372,"Quercus nigra (Water oak)|Celtis laevigata (Sugarberry)|Acer rubrum (Red maple)",1.191923992,0.454948497854077,0.597413793103448,0.18,13.2960300429185,19.2801724137931,1.62,29.2253521126761,32.2727272727273,9,10,22.228,34.811,46.6,34.8,5086,5167.4,5167.4,5167.4,95.29865,95.29865,95.29865,6.19595,6.7095,82.3932,0.212006,0.2079,9.1548,1.23307395319217,1.33527702595128,16.3973093456456,0.0421919280369368,0.0413747810858144,1.82192326062729,0.0650161361152545,0.070404984750571,0.864578879134175,0.0221422986773693,0.021713460444634,0.956144240877997,187543,"DELA","038","HF",-26.1,0.9722,0.0039,-36.1,3.9,"225",35,"2021",0.00423021930828386,236.394363299733,1,1.452653593464,0.728269614225098,0.271730385774902,0,0,1.14,11.35472222,0.171428571428571,1.77142857142857,10.1,-25.9,6.45714285714286
"14","DELA_041","DELA","041",5135.9,7.606512,17.6,1372,"Quercus nigra (Water oak)|Celtis laevigata (Sugarberry)|Acer rubrum (Red maple)",1.191923992,0.312765,0.67635,0.139,8.73585,21.91875,1.49,27.9310344827586,32.4074074074074,10.7,10.041,20.582,34.774,40,32,5226.6,5298.6,5298.6,5298.6,88.38468,88.38468,88.38468,3.49434,7.014,77.87634,0.125106,0.216432,7.264974,0.680375396717226,1.36568079596565,15.1631340174069,0.0243591191417278,0.0421410074183688,1.41454740162386,0.039535584673724,0.079357644333837,0.881106770992439,0.0164472231161931,0.0284535145675179,0.955099262316289,187544,"DELA","041","HF",-26.5,0.9654,0.0039,-42.9,3.9,"285",35,"2021",0.00337507367897015,296.289828050549,1,2.2949923383096,1,0,0,0,1.24,12.3792155,0.174285714285714,1.96714285714286,11.3,-26.4142857142857,6.45714285714286
"15","HARV_001","HARV","001",5032.7,5.825718,7.4,1199,"Osmunda cinmomea (Cinmon fern)|Quercus rubra (Northern red oak)|Tsuga cadensis (Eastern hemlock)",0.582321936,0.543294289897511,0.615975501113586,0.105,14.7715959004392,25.4954565701559,1.89,27.1889400921659,41.3903743315508,17.9,10.347,20.667,34.971,68.3,44.9,4931.5,5044.7,5044.7,5044.7,114.74181,114.74181,114.74181,10.089,11.44746,93.20535,0.37107,0.276573,5.178075,2.00468933177022,2.27461601128619,18.5199495300733,0.0737317940668031,0.0549551930375345,1.02888608500407,0.0879278442618258,0.099767120633708,0.812305035104466,0.0636951531124575,0.0474744915562339,0.888830355331308,187545,"HARV","001","HF",-26.7,0.9741,0.0039,-34.2,3.9,"210",35,"2021",0.00454941800048852,219.808335899805,0.745665882428258,0.981449252944719,0.0704254093244346,0.929574590675565,0,0,0.46,4.582634123,0.166666666666667,3.655,21.45,-27.1166666666667,5.01666666666667
"16","HARV_004","HARV","004",5003.8,8.238212,7.4,1199,"Osmunda cinmomea (Cinmon fern)|Quercus rubra (Northern red oak)|Tsuga cadensis (Eastern hemlock)",0.582321936,0.617873068432671,0.893927710843374,0.147,13.5974834437086,22.513734939759,2.36,22.0069204152249,25.1851851851852,16,9.942,21.289,34.876,90.6,58.1,4870.1,5018.8,5018.8,5018.8,140.33416,140.33416,140.33416,12.31932,13.08048,114.93436,0.559793,0.519372,7.159047,2.46199288540709,2.61410927694952,22.9694152444142,0.111873576082178,0.10379551540829,1.43072205124106,0.0877856111441434,0.0932095221861876,0.819004866669669,0.0679507883506761,0.0630442625171578,0.869004949132166,187546,"HARV","004","HF",-26.4,1.0219,0.0039,13.2,3.9,">modern",NA,"2021",-0.00564438133018277,-177.16733535571,1,0.57656157714823,0.660707450337215,0.338829398134589,0,0.000463151528195711,0.46,4.562459579,0.271666666666667,4.48166666666667,16.6166666666667,-26.7333333333333,4.48333333333333
"17","HARV_010","HARV","010",5069.8,5.482152,7.4,1199,"Osmunda cinmomea (Cinmon fern)|Quercus rubra (Northern red oak)|Tsuga cadensis (Eastern hemlock)",0.582321936,0.578204724409449,0.678450261780105,0.095,19.072125984252,23.7084816753927,1.96,32.9850746268657,34.9450549450549,20.5,9.896,21.554,35.054,88.9,38.2,4956.8,5083.9,5083.9,5083.9,123.16504,123.16504,123.16504,16.95512,9.05664,97.15328,0.514024,0.259168,4.70896,3.34433705471616,1.78638999566058,19.1631385853485,0.101389403921259,0.0511199652846266,0.928825594698016,0.137661791040704,0.0735325543677004,0.788805654591595,0.093763179131115,0.0472748657826343,0.858961955086251,187547,"HARV","010","HF",-26.6,1.0185,0.0041,9.8,4.1,">modern",NA,"2021",-0.00665949607524545,-150.161512027491,0.553922869774318,0.997156430814505,0.0670870552504334,0.932912944749567,0,0,0.27,2.69591528,0.133333333333333,3.42666666666667,25.6666666666667,-27.1333333333333,3.36666666666667
"18","HARV_016","HARV","016",5516.5,14.141024,7.4,1199,"Osmunda cinmomea (Cinmon fern)|Quercus rubra (Northern red oak)|Tsuga cadensis (Eastern hemlock)",0.582321936,0.671676375404531,0.778733762057878,0.231,19.8968284789644,22.6950032154341,4.65,29.622641509434,29.1434689507495,20.2,10.099,9.158,35.22,92.7,155.5,5327.9,5576.1,5576.1,5576.1,301.48244,301.48244,301.48244,18.44436,35.29073,247.74735,0.622644,1.210931,12.307449,3.34348953140578,6.39730445028551,44.9102420012689,0.112869391824526,0.219510740505756,2.23102492522433,0.0611788865713041,0.117057331763668,0.821763781665028,0.0440310404677907,0.0856324831921649,0.870336476340044,187548,"HARV","016","HF",-26.9,0.9729,0.0039,-35.4,3.9,"220",35,"2021",0.0043426114677259,230.276184602734,0.719163672184825,0.957547230638045,0.50744061411416,0.487106571838446,0,0.00545281404739388,0.46,4.570476424,0.346666666666667,5.37,15.9,-27.7333333333333,4.93333333333333
"19","HARV_021","HARV","021",5278.9,6.919366,7.4,1199,"Osmunda cinmomea (Cinmon fern)|Quercus rubra (Northern red oak)|Tsuga cadensis (Eastern hemlock)",0.582321936,0.663684210526316,0.852283464566929,0.104,21.4731245836109,28.3170603674541,1.95,32.3544303797468,33.2249322493225,18.7,9.954,20.806,34.89,150.1,76.2,5070.9,5297.2,5297.2,5297.2,152.69131,152.69131,152.69131,32.23116,21.5776,98.88255,0.99619,0.64944,5.273736,6.10565837579799,4.0875182329652,18.7316581105912,0.188711663414727,0.123025630339654,0.999021765898199,0.211087061863573,0.141315180281052,0.647597757855375,0.143971282918117,0.0938583101399753,0.762170406941908,187549,"HARV","021","HF",-26.9,0.9964,0.004,-12.2,4,"modern",NA,"2021",0.0334798328024403,29.8687274187077,0.381041419562936,0.736332769333683,0.359281002807383,0.6401643470915,0,0.00055465010111698,0.29,2.855022266,0.257142857142857,6.81428571428571,26.4285714285714,-27.3428571428571,2.11428571428571
"20","HARV_033","HARV","033",5112.8,13.077922,7.4,1199,"Osmunda cinmomea (Cinmon fern)|Quercus rubra (Northern red oak)|Tsuga cadensis (Eastern hemlock)",0.582321936,0.679196374622356,1.17644583008574,0.227,22.1056797583082,37.5849181605612,4.37,32.5468164794007,31.9478527607362,19.3,9.689,10.525,34.903,66.2,128.3,4898.2,5092.7,5092.7,5092.7,276.90675,276.90675,276.90675,14.63396,48.22145,214.05134,0.449628,1.50938,11.118914,2.86222030981067,9.43151502112345,41.8657760913785,0.0879416366765764,0.295215928649664,2.17472109216085,0.0528479713838684,0.174143281086503,0.773008747529629,0.0343806913667171,0.115414360171287,0.850204948461996,187550,"HARV","033","HF",-26.6,1.0008,0.004,-7.8,4,"modern",NA,"2021",-0.151324543365204,-6.60831334931982,0.685916737897273,2.58746597497901,0.241173981564224,0.758826018435776,0,0,0.47,4.74939834,0.231666666666667,4.56333333333333,20.1,-27.3,5.33333333333333
